Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Mexico,US,2020-09-04 04:30:31,34.8405,-106.2485,25812,791,13180.0,11841.0,35.0,1231.0016696640496,770959.0,,3.0644661397799475,84000035,USA,36767.852791047815,
New York,US,2020-09-04 04:30:31,42.1657,-74.9481,437107,32976,75255.0,328876.0,36.0,2246.92538296716,8517458.0,,7.54414822915213,84000036,USA,43783.541738193846,
North Carolina,US,2020-09-04 04:30:31,35.6301,-79.8064,172201,2803,145884.0,23514.0,37.0,1641.8728149011774,2347837.0,,1.627748967776029,84000037,USA,22385.757017201617,
North Dakota,US,2020-09-04 04:30:31,47.5289,-99.78399999999999,12629,150,10051.0,2428.0,38.0,1657.2142424107224,205899.0,,1.1877424974265578,84000038,USA,27018.667772438457,
Ohio,US,2020-09-04 04:30:31,40.3888,-82.7649,127112,4226,106095.0,16791.0,39.0,1087.440435961708,2319528.0,,3.3246271005097867,84000039,USA,19843.51233200161,
Oklahoma,US,2020-09-04 04:30:31,35.5653,-96.9289,61027,835,51447.0,8745.0,40.0,1542.2655359364526,903046.0,,1.3682468415619315,84000040,USA,22821.648174828675,
Oregon,US,2020-09-04 04:30:31,44.571999999999996,-122.0709,27336,470,5144.0,21722.0,41.0,648.1200700754931,571125.0,,1.7193444541995904,84000041,USA,13541.029229655618,
Pennsylvania,US,2020-09-04 04:30:31,40.5908,-77.2098,141570,7724,110784.0,23062.0,42.0,1105.843787242748,1702214.0,,5.45595818323091,84000042,USA,13296.4807265496,
Rhode Island,US,2020-09-04 04:30:31,41.6809,-71.5118,22143,1055,2137.0,18951.0,44.0,2090.222313262429,547593.0,,4.764485390416836,84000044,USA,51690.877802750896,
South Carolina,US,2020-09-04 04:30:31,33.8569,-80.945,121696,2807,51431.0,67458.0,45.0,2363.6193426164277,969425.0,,2.306567183802261,84000045,USA,18828.488045752783,
South Dakota,US,2020-09-04 04:30:31,44.2998,-99.4388,14337,169,11155.0,3013.0,46.0,1620.6244439948048,150537.0,,1.178768222082723,84000046,USA,17016.38710508795,
